Product_Name,Pricing,Rating
APPLE iPhone 12 (Blue| 128 GB),Rs.71999,4.6
APPLE iPhone SE (Black| 128 GB),Rs.34999,4.5
APPLE iPhone 12 (Black| 128 GB),Rs.71999,4.6
APPLE iPhone 12 (White| 128 GB),Rs.71999,4.6
APPLE iPhone 12 (Green| 128 GB),Rs.71999,4.6
APPLE iPhone SE (White| 128 GB),Rs.34999,4.5
APPLE iPhone 12 (Blue| 64 GB),Rs.66999,4.6
APPLE iPhone 12 (Red| 128 GB),Rs.71999,4.6
APPLE iPhone 12 (White| 64 GB),Rs.66999,4.6
APPLE iPhone 12 (Black| 64 GB),Rs.66999,4.6
APPLE iPhone 12 (Green| 64 GB),Rs.66999,4.6
APPLE iPhone 12 (Green| 256 GB),Rs.81999,4.6
APPLE iPhone SE (Red| 128 GB),Rs.34999,4.5
APPLE iPhone 12 (White| 256 GB),Rs.81999,4.6
Apple iPhone XR ((PRODUCT)RED| 64 GB) (Includes EarPods| Power Adapter),Rs.42999,4.6
APPLE iPhone 12 (Red| 256 GB),Rs.81999,4.6
Apple iPhone XR (Yellow| 128 GB) (Includes EarPods| Power Adapter),Rs.47999,4.6
APPLE iPhone 12 (Black| 256 GB),Rs.81999,4.6
APPLE iPhone XR (Black| 128 GB),Rs.47999,4.6
APPLE iPhone XR (White| 64 GB),Rs.42999,4.6
APPLE iPhone XR (Blue| 128 GB),Rs.47999,4.6
APPLE iPhone 12 (Red| 64 GB),Rs.66999,4.6
APPLE iPhone SE (White| 64 GB),Rs.32999,4.5
APPLE iPhone 12 (Blue| 256 GB),Rs.81999,4.6
